id,state,state_abb,state_id,county,county_id,operator,ref,name,sqft,lon,lat,type,company,pfaf_id,string_id,gid_1,name_0,name_1,area_km2,bws_label,coast_dist_km,lake_dist_km,avg_temp_c,summer_avg_temp_c,annual_precip_mm,summer_avg_dewpoint_c,nearest_reclaimed_plant_km,reclaimed_water_accessible,recommended_alternative,runner_up_alternative,recommendation_rationale,bws_score,bws_cat
9474864,North Carolina,NC,37,Caldwell County,27,Google,,Google Data Center,3407194.0,-81.54651452543965,35.89473769568106,campus,google,732409,732409-USA.34_1-1414,USA.34_1,United States,North Carolina,5488.78412991,Medium - High (20-40%),420.8542117942173,227.73802462936803,13.97000002861023,23.593333562215168,1234.0,18.524643006750143,86.66555393044906,False,immersion_cooling,closed_loop_dry_cooling,"Campus-type facility with space for new cooling infrastructure; no site-specific water resource (coast/lake/reclaimed) or favorable climate available nearby, so a high-water-savings retrofit technology is recommended instead.",2.3695891571081926,2.0
13924557,Iowa,IA,19,Polk County,153,Microsoft,,Project Alluvion,11169421.0,-93.71182964871085,41.51596683171199,campus,microsoft,742843,742843-USA.16_1-1342,USA.16_1,United States,Iowa,187.257056446,Low - Medium (10-20%),1583.6546823035312,547.6600469253739,9.738333304723104,22.811999638875324,861.0,17.445100827655196,125.76387436811292,False,immersion_cooling,closed_loop_dry_cooling,"Campus-type facility with space for new cooling infrastructure; no site-specific water resource (coast/lake/reclaimed) or favorable climate available nearby, so a high-water-savings retrofit technology is recommended instead.",1.1889931573790973,0.0
14997588,Virginia,VA,51,Henrico County,87,Meta,,Meta Henrico Data Center,4671056.0,-77.23645509442149,37.482763284885785,campus,meta,731905,731905-USA.47_1-1400,USA.47_1,United States,Virginia,2272.30944337,Medium - High (20-40%),18.69677476056047,144.2027485118206,14.326333463191986,24.296000162760414,1124.0,19.057827408452493,73.15950865660429,False,immersion_cooling,closed_loop_dry_cooling,"Campus-type facility with space for new cooling infrastructure; no site-specific water resource (coast/lake/reclaimed) or favorable climate available nearby, so a high-water-savings retrofit technology is recommended instead.",2.3410940191280734,2.0
18518989,Alabama,AL,1,Madison County,89,Meta,,Meta Huntsville Data Center,14435561.0,-86.62831680386925,34.84424467802452,campus,meta,742623,742623-USA.1_1-1216,USA.1_1,United States,Alabama,17662.7038074,Low - Medium (10-20%),562.6535440853389,46.07741819726645,15.05433315038681,24.67066637674968,1444.0,19.67839418783489,85.14955411489372,False,immersion_cooling,closed_loop_dry_cooling,"Campus-type facility with space for new cooling infrastructure; no site-specific water resource (coast/lake/reclaimed) or favorable climate available nearby, so a high-water-savings retrofit technology is recommended instead.",1.3592511298828778,1.0
19787207,Virginia,VA,51,Prince William County,153,Microsoft,1,Microsoft Data Center 1,248706.0,-77.58237918867958,38.8024111256264,building,microsoft,731901,731901-USA.47_1-1400,USA.47_1,United States,Virginia,3775.42944138,Medium - High (20-40%),44.408744223117374,307.0434674879334,13.036666552225748,23.75599988301595,995.0,17.778876910389506,14.190425935320745,True,reclaimed_wastewater,closed_loop_dry_cooling,Within 40.2km of an EPA-identified reuse-capable treatment plant (nearest: 14.2km) -- reclaimed water can substitute for freshwater in cooling towers.,2.3410940191280734,2.0
19988712,Oregon,OR,41,Crook County,13,Meta,,Meta Prineville Datacenter,17379079.0,-120.88638228128598,44.29844323079028,campus,meta,782400,782400-USA.38_1-1189,USA.38_1,United States,Oregon,13284.6950977,Medium - High (20-40%),349.0291373073962,244.3157346014344,8.448999942590794,17.14533297220866,268.0,5.75657365994442,27.474739694629328,True,reclaimed_wastewater,air_free_cooling,Within 40.2km of an EPA-identified reuse-capable treatment plant (nearest: 27.5km) -- reclaimed water can substitute for freshwater in cooling towers.,2.054509572995166,0.0
45776978,Virginia,VA,51,Prince William County,153,Amazon Web Services,Amazon IAD11,Amazon IAD11,122474.0,-77.54111111954948,38.790500006452135,building,amazon,731901,731901-USA.47_1-1400,USA.47_1,United States,Virginia,3775.42944138,Medium - High (20-40%),39.55824752103396,307.34151130245414,13.248000080386795,24.016000111897785,984.0,17.858780671308107,9.84499036640516,True,reclaimed_wastewater,closed_loop_dry_cooling,Within 40.2km of an EPA-identified reuse-capable treatment plant (nearest: 9.8km) -- reclaimed water can substitute for freshwater in cooling towers.,2.3410940191280734,2.0
45776979,Virginia,VA,51,Prince William County,153,Amazon Web Services,IAD24,Amazon IAD24,31388.0,-77.54000633908686,38.79035015175034,building,amazon,731901,731901-USA.47_1-1400,USA.47_1,United States,Virginia,3775.42944138,Medium - High (20-40%),39.44022906419156,307.37256497039675,13.248000080386795,24.016000111897785,984.0,17.858780671308107,9.729665100080704,True,reclaimed_wastewater,closed_loop_dry_cooling,Within 40.2km of an EPA-identified reuse-capable treatment plant (nearest: 9.7km) -- reclaimed water can substitute for freshwater in cooling towers.,2.3410940191280734,2.0
45776988,Virginia,VA,51,Prince William County,153,Amazon Web Services,Amazon IAD-7,Amazon IAD7,109423.0,-77.53827709301147,38.79120375196744,building,amazon,731901,731901-USA.47_1-1400,USA.47_1,United States,Virginia,3775.42944138,Medium - High (20-40%),39.3311948479445,307.5628897803074,13.248000080386795,24.016000111897785,984.0,17.858780671308107,9.520294402401298,True,reclaimed_wastewater,closed_loop_dry_cooling,Within 40.2km of an EPA-identified reuse-capable treatment plant (nearest: 9.5km) -- reclaimed water can substitute for freshwater in cooling towers.,2.3410940191280734,2.0
48242814,Virginia,VA,51,Loudoun County,107,Amazon Web Services,IAD10,Amazon IAD10,112726.0,-77.43287558139869,39.0216455535984,building,amazon,731801,731801-USA.21_1-1400,USA.21_1,United States,Maryland,236.989313922,Medium - High (20-40%),44.05113018604055,342.44752562922173,13.19699981311957,24.07866605122884,1009.0,17.63059221844134,2.210149431777168,True,reclaimed_wastewater,closed_loop_dry_cooling,Within 40.2km of an EPA-identified reuse-capable treatment plant (nearest: 2.2km) -- reclaimed water can substitute for freshwater in cooling towers.,2.3410940191280734,2.0
